,id,full_name,is_active
845,76477,Pete Cross,0
846,76478,Russell Cross,0
847,76479,Francis Crossin,0
848,180,John Crotty,0
849,76481,Mark Crow,0
850,76482,Corey Crowder,0
851,203109,Jae Crowder,0
852,1629633,Jarrett Culver,0
853,76483,Pat Cummings,0
854,187,Terry Cummings,0
855,1907,Vonteego Cummings,0
856,76487,Billy Cunningham,0
857,201967,Dante Cunningham,0
858,76485,Dick Cunningham,0
859,203099,Jared Cunningham,0
860,1061,William Cunningham,0
861,76488,Radisav Curcic,0
862,76489,Armand Cure,0
863,940,Earl Cureton,0
864,223,Bill Curley,0
865,76492,Fran Curran,0
866,209,Dell Curry,0
867,2201,Eddy Curry,0
868,201191,JamesOn Curry,0
869,688,Michael Curry,0
870,203552,Seth Curry,0
871,201939,Stephen Curry,0
872,687,Rastko Cvetkovic,0
873,76505,Mike D'Antoni,0
874,76496,Ed Dahler,0
875,76497,Quintin Dailey,0
876,2223,Samuel Dalembert,0
877,76498,Howie Dallmar,0
878,956,Erick Dampier,0
879,76499,Lou Dampier,0
880,76500,Bob Dandridge,0
881,1498,Antonio Daniels,0
882,2845,Erik Daniels,0
883,1380,Lloyd Daniels,0
884,2605,Marquis Daniels,0
885,76502,Mel Daniels,0
886,203584,Troy Daniels,0
887,390,Sasha Danilovic,0
888,76504,Adrian Dantley,0
889,76506,Henry Darcey,0
890,76507,Jimmy Darden,0
891,212,Yinka Dare,0
892,76509,Jesse Dark,0
893,76511,Jimmy Darrow,0
894,203540,Gigi Datome,0
895,921,Brad Daugherty,0
896,1600,Kornel David,0
897,201176,Jermareo Davidson,0
898,76514,Bob Davies,0
899,203561,Brandon Davies,0
900,203076,Anthony Davis,0
901,213,Antonio Davis,0
902,76515,Aubrey Davis,0
903,1884,Baron Davis,0
904,989,Ben Davis,0
905,76538,Bill Davis,0
906,76533,Bob Davis,0
907,76516,Brad Davis,0
908,76517,Brian Davis,0
909,76518,Charlie Davis,0
